번호,측정소,위도 ,경도
1,신고리교차로(MS-1),35.340661,129.302641
6,신리(MS-6),35.345841,129.315556
9,서생면사무소(MS-9),35.349862,129.326371
10,해오름사택(MS-10),35.35121212,129.326486
11,문수경기장(MS-11),35.534164,129.259788
12,양암마을회관(MS-12),35.357732,129.299449
13,삼평초교(MS-13),35.406131,129.322585
14,대운산1주차장(MS-14),35.402585,129.257308
6,스포츠문화센터(MS-6),35.329667,129.287214
7,월내(MS-7),35.32821,129.280061
8,사택3단지(MS-8),35.33812,129.292234
9,부산대(MS-9),35.233898,129.080717
10,드림볼파크(MS-10),35.297759,129.241371
11,용소리(MS-11),35.349146,129.228245
12,학리(MS-12),35.25683,129.244426
9,직원사택(MS-9),35.696836,129.469843
10,상봉(MS-10),35.727827,129.473779
18,신서(MS-18),35.668605,129.436566
19,기구(MS-19),35.6987,129.420812
20,석촌(MS-20),35.708563,129.414721
21,효동(MS-21),35.730183,129.395059
22,두산(MS-22),35.787696,129.422275
23,팔조(MS-23),35.783766,129.469904
8,신화리(MS-8),37.083516,129.363413
9,부구교량(MS-9),37.10048,129.372329
10,한수원사택(MS-10),37.109786,129.368718
11,죽변초교(MS-11),37.062493,129.421295
12,매화초교(MS-12),36.91402,129.382013
13,궁촌초교(MS-13),37.319767,129.264018
15,고목1리마을회관(MS-15),37.074575,129.37768
16,나곡4리(MS-16),37.130851,129.359878
17,학공원(MS-17),37.142514,129.287033
18,부구3리(MS-18),37.1065,129.327029
19,대수호(MS-19),37.090525,129.322195
20,구수곡자연휴양림(MS-20),37.063519,129.291205
21,하당리(MS-21),37.041408,129.321214
22,정림1리(MS-22),37.025302,129.350733
23,호월3리(MS-23),37.014031,129.374632
24,온양교원사택(MS-24),37.023739,129.40862
1,본부정문(MS-1),35.413712,126.427591
2,배수로(MS-2),35.426088,126.420149
3,한마음공원(MS-3),35.424359,126.426582
6,홍농서초교(MS-6),35.418393,126.440205
7,홍농사택(MS-7),35.396663,126.450462
8,법성(MS-8),35.364305,126.43455
9,영광(MS-9),35.32737,126.475589
11,진덕마을(MS-11),35.414686,126.456079
12,구남초교(MS-12),35.382902,126.425064
13,목맥마을(MS-13),35.371399,126.423786
14,계마리(MS-14),35.403149,126.410728
15,장호보건소(MS-15),35.471035,126.466028
16,나산마을(MS-16),35.476691,126.383438
17,상하면사무소(MS-17),35.444418,126.495167
18,용대마을(MS-18),35.422413,126.480429
19,공음면사무소(MS-19),35.377779,126.511489
20,석장경로당(MS-20),35.361309,126.4625
21,모래미(MS-21),35.362006,126.415391
22,노을전시관(MS-22),35.353778,126.38993
24,홍농변전소(MS-24),35.407936,126.420401
