windspeed,winddirection
1.6,173.6
0.6,204.9
0,270.9
0,134.2
1.5,197.2
2.2,203.5
1.5,223.9
1.4,216
1.3,192.5
1.7,167.1
1.9,157.8
1.8,143.9
1.5,116.6
1.3,119.4
2,114.5
1.9,113.2
2,116.5
1.3,119.6
0.6,93.8
0.2,86.9
0.9,37.9
1.2,28
1.5,36.1
1.1,51.7
1,48.7
1.4,30.8
1.1,51
1.5,34.8
1.3,38.4
1.6,35.2
1.9,19.9
1.8,36.5
2,35.6
2.4,33
1.7,43.5
1.3,72
1.1,63.2
1.1,66.3
1.1,60.5
1.7,36.6
1.4,51.7
1,51.4
1,49.2
1.1,45.6
1,52.5
0.7,55.3
1.2,32.9
1.2,29.1
1.1,27.3
1.1,17.1
0.7,287.8
0.6,345.3
0.2,234.4
0.1,178.8
0.1,265.1
0.1,176.9
0.2,205.4
0.6,232.6
0.3,211.7
1,251.2
0.7,238.2
0,198.4
0,222.5
0,245.2
0,255.9
0.4,221.9
0.8,234.7
1.4,241.8
1.4,267.1
1,280.3
0.8,281.7
1.9,266.7
1.9,274
1.7,274.5
1.5,280.9
0.5,283.8
1.3,278
1.7,272.3
1.7,271.1
1.9,270.6
1.6,265
1.9,266.6
1.6,264.4
1.9,264.9
1.9,268
2,263.2
2.1,269.5
1.8,267.8
2,263.1
2,264.8
2,262.1
2,278
1.6,272.5
2,265.7
1.7,265.8
1.8,252.9
1.8,252.7
1.6,260.3
1.7,266.4
1.4,294.8
1.3,286
1.5,319.9
2.3,328.3
2.3,331.2
2.5,335.2
2.7,345.5
2.8,344.4
2.6,353.1
2.7,358
2.7,358
2.7,359.5
2.5,357.7
2.3,357.1
2.4,353.5
2.6,2.8
2.5,1.4
2.4,6.5
2.8,0.6
2.5,4
2.6,9.8
2.3,2
2.3,2
2.5,8.2
2.2,13.8
1.8,12.5
2,14.4
1.8,10.5
1.1,354
1.7,349
1.6,1.6
1.7,356.2
2.3,353.3
2.2,351.6
2.1,2.6
2.3,359.7
1.8,352.4
2.6,343.6
2.7,328.5
2.6,330.1
2.5,321
2.8,329.1
2,337.6
1.4,326.4
2,312
1.7,288.4
2.1,270.5
2.4,287.9
2.2,277.4
2.1,276.5
2.2,268.4
2.1,266.3
2.4,276.6
2.3,275.7
2.5,271.6
2.1,267.6
2.5,265.9
2.5,273.4
2.5,277.7
2.5,273.1
2.4,271.3
2.4,270.3
2.5,274.3
2.3,267.3
2.6,268.6
2.4,269.7
2.5,273.5
2.4,274.6
2.7,276.7
2.5,272.5
2.5,276.8
2.5,266.4
2.5,268.8
2.4,274.8
2.4,277.3
2.4,277.1
2.4,274.6
2.5,276
